City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Air_quality
Lucknow,8/25/2017,34.82,100.95,14.23,50.54,24.3,17.82,1.15,6.41,11.49,1.56,3.11,0.82,76.0,Moderate
Lucknow,8/26/2017,36.6,100.95,21.37,29.57,24.3,17.82,1.24,5.98,12.11,1.5,3.09,0.82,63.0,Poor
Lucknow,8/27/2017,21.59,100.95,24.06,72.49,24.3,17.82,1.29,5.97,13.56,1.49,3.11,0.82,56.0,Very Poor
Lucknow,8/28/2017,11.61,100.95,11.22,17.95,24.3,17.82,1.34,6.46,13.54,1.63,3.14,0.82,50.0,Severe
Lucknow,8/29/2017,22.21,100.95,5.27,15.26,24.3,17.82,1.13,4.85,18.2,1.5,3.11,0.82,41.0,Good
Lucknow,8/30/2017,33.11,100.95,9.59,13.48,24.3,17.82,1.65,4.41,26.77,1.11,2.87,0.82,55.0,Satisfactory
Lucknow,8/31/2017,31.44,100.95,7.56,16.14,24.3,17.82,4.68,4.64,19.36,1.37,2.89,0.82,108.0,Moderate
Lucknow,9/1/2017,20.76,100.95,7.39,14.04,24.3,17.82,1.62,4.62,18.1,1.5,3.1,0.82,70.0,Poor
Lucknow,9/2/2017,21.69,100.95,6.56,13.09,24.3,17.82,1.68,4.69,18.2,1.5,3.1,0.82,72.0,Very Poor
Lucknow,9/3/2017,25.72,100.95,8.26,11.18,24.3,17.82,1.62,4.61,14.84,1.7,3.14,0.82,66.0,Severe
Lucknow,9/4/2017,32.27,100.95,10.02,14.94,24.3,17.82,1.54,5.54,14.14,1.71,3.15,0.82,83.0,Good
Lucknow,9/5/2017,41.31,100.95,6.4,19.7,24.3,17.82,1.31,5.11,14.73,1.5,3.11,0.82,73.0,Satisfactory
Lucknow,9/6/2017,47.98,100.95,11.35,33.03,24.3,17.82,1.49,4.62,18.19,1.5,3.1,0.82,84.0,Moderate
Lucknow,9/7/2017,48.66,100.95,12.7,31.39,24.3,17.82,1.17,5.11,15.15,1.54,3.11,0.82,77.0,Poor
Lucknow,9/8/2017,57.46,100.95,14.32,32.49,24.3,17.82,1.09,5.14,20.56,1.61,3.12,0.82,96.0,Very Poor
Lucknow,9/9/2017,59.67,100.95,14.04,43.52,24.3,17.82,1.13,5.02,19.36,1.73,3.14,0.82,95.0,Severe
Lucknow,9/10/2017,72.6,100.95,17.81,48.73,24.3,17.82,1.2,4.38,30.02,1.61,3.13,0.82,116.0,Good
Lucknow,9/11/2017,86.0,100.95,18.06,29.13,24.3,17.82,1.18,5.37,26.2,1.5,3.11,0.82,171.0,Moderate
Lucknow,9/12/2017,74.71,100.95,17.14,52.22,24.3,17.82,1.17,4.28,29.4,1.5,3.1,0.82,163.0,Moderate
Lucknow,9/13/2017,81.77,100.95,15.46,51.42,24.3,17.82,1.14,4.75,29.14,1.5,3.11,0.82,153.0,Poor
Lucknow,9/14/2017,76.58,100.95,10.17,18.06,24.3,17.82,1.11,4.9,23.29,1.49,3.09,0.82,173.0,Very Poor
Lucknow,9/15/2017,53.51,100.95,10.91,24.96,24.3,17.82,1.28,5.46,30.61,1.61,3.14,0.82,120.0,Severe
Lucknow,9/16/2017,43.46,100.95,9.4,32.36,24.3,17.82,1.25,4.64,32.14,1.5,3.11,0.82,79.0,Good
Lucknow,9/17/2017,44.81,100.95,12.03,33.74,24.3,17.82,1.16,4.83,31.59,1.5,3.11,0.82,76.0,Satisfactory
Lucknow,9/18/2017,40.76,100.95,9.45,34.34,24.3,17.82,3.23,5.15,27.24,1.5,3.1,0.82,75.0,Moderate
Lucknow,9/19/2017,22.15,100.95,7.67,23.0,24.3,17.82,8.13,4.91,18.66,1.5,3.1,0.82,141.0,Poor
Lucknow,9/20/2017,41.19,100.95,9.36,25.2,24.3,17.82,1.33,4.93,16.73,2.21,3.01,0.82,61.0,Very Poor
Lucknow,9/21/2017,21.08,100.95,6.89,22.99,24.3,17.82,1.14,5.53,15.47,2.37,3.41,0.82,67.0,Severe
Lucknow,9/22/2017,23.0,100.95,5.02,16.09,24.3,17.82,7.52,4.49,14.94,2.5,3.59,0.82,176.0,Good
Lucknow,9/23/2017,30.87,100.95,5.69,13.79,24.3,17.82,1.33,5.59,12.27,2.34,3.46,0.82,59.0,Satisfactory
Lucknow,9/24/2017,40.25,100.95,4.69,11.11,24.3,17.82,1.25,5.08,16.39,2.39,3.52,0.82,79.0,Moderate
Lucknow,9/25/2017,33.76,100.95,5.04,12.3,24.3,17.82,1.26,4.72,19.63,2.5,3.61,0.82,76.0,Poor
Lucknow,9/26/2017,68.45,100.95,3.77,16.86,16.98,8.91,0.95,4.79,20.53,2.2,3.18,0.82,89.0,Very Poor
Lucknow,9/27/2017,80.19,100.95,4.73,19.01,17.41,9.35,1.18,6.4,26.15,2.48,3.57,0.82,151.0,Severe
Lucknow,9/28/2017,75.01,100.95,11.19,37.57,26.17,7.95,0.89,7.7,30.48,1.83,2.64,0.82,160.0,Good
Lucknow,9/29/2017,65.98,100.95,13.34,34.9,33.63,6.44,0.94,6.95,29.53,2.51,3.59,0.82,140.0,Moderate
Lucknow,9/30/2017,77.33,100.95,6.96,31.24,28.62,7.72,0.95,7.67,29.65,2.51,3.59,0.82,135.0,Moderate
Lucknow,10/1/2017,61.56,100.95,12.61,26.32,16.22,16.68,0.8,6.78,23.32,2.33,3.47,0.82,140.0,Poor
